,img_name,question,h,r,t,answer,fold
0,151100520220713145146.jpg,이미지 속 스포츠 시설은 뭐라고 불러?,Arena,subject,Sports_Facilities,arena,1.0
1,121800120220707160221.jpg,이미지 속 파충류는 어느 문에 속하지?,Iguana,class,Reptile,chordate,1.0
2,130300920220628101505.jpg,이미지 안 사람은 무엇에 해당되니?,Human,superorder,Euarchontoglires,Euarchontoglires,1.0
3,134000220220801141550.jpg,이미지 속 전자 부품은 뭐야?,Diode,subject,Electronic component,diode,1.0
4,141600820220712162346.jpg,이미지 안 진정쌍떡잎식물은 어떤 목에 속하니?,Mentha canadensis,order,Lamiales,Lamiales,1.0
5,111500420220706183019.jpg,이미지 속 대한민국의 중요무형문화재를 뭐라고 불러?,Tightrope walking,subject,Intangible Cultural Heritage (South Korea),ropewalk,1.0
6,122200620220708145015.jpg,이미지 속 모델 생물은 어떤 과에 해당하지?,Chicken,subject,Phasianidae,Phasianidae,1.0
7,132303020220708164455.jpg,이미지 속 회전기는 어느 나라 발명품일까?,Propeller,subject,swedish invention,Sweden,1.0
8,151300720221006141223.jpg,이미지 내 기계 체조 기구에 해당하는 것은 뭘까?,Parallel bars,subject,mechanical_gymnastics_apparatus,parallel bars,1.0
9,120210420220907154358.jpg,이미지 내 척삭동물이 해당하는 강은 뭘까 ?,American black bear,class,Mammal,a mammal,1.0
10,121000220220715145620.jpg,이미지 안 극피동물에 속하는 동물은 누구니?,Sea urchin,phylum,Echinoderm,sea urchin,1.0
11,120806120220914115621.jpg,이미지에 있는 조기어류의 목은 뭐니?,Flathead grey mullet,class,Actinopterygii,chordate,1.0
12,110502820220915104715.jpg,이미지 내의 박물관에서 벼목에 속하는 것은 뭘까?,Bamboo,order,Poales,bamboo,1.0
13,122202420220728112446.jpg,이미지 안 척삭동물은 어느 나라의 여름철새일까?,Black-naped oriole,subject,Korea's summer migratory birds,Korea,1.0
14,122201120220810162523.jpg,이미지 속 약용식물은 무엇이니?,Bellis perennis,subject,Medicinal plants,daisies,1.0
15,122201820220905164615.jpg,이미지 안 척삭동물은 무엇일까?,Hummingbird,phylum,Chordate,hummingbird,1.0
16,113000120220718164057.jpg,이미지 내에서 헌혈은 무엇을 하기 위해 하니?,blood donation,DerivedFrom,donation,donation,1.0
17,120210320220922105214.jpg,이미지 내 삼림지대에 있는 척삭동물은 무엇일까?,forest,RelatedTo,woodland,lynx,1.0
18,141204020220805133310.jpg,이미지 내 데이지의 계는 무엇이니?,Bellis perennis,kingdom,Plant,a plant,1.0
19,120203320220817132127.jpg,천축서과에 속하는 기니피그의 문은 뭐야?,Guinea pig,subject,Caviidae,chordate,1.0
20,113900220220719133411.jpg,이미지에 있는 쓰레기를 어디에 담을까?,a garbage can,UsedFor,hold trash,trash bag,1.0
21,120900120220831162221.jpg,이미지 속 진연갑아강에 속하는 동물은 뭐지?,Lobster,kingdom,Animal,lobster,1.0
22,120700220220825162516.jpg,이미지에서 놀래기아목에 해당하는 동물은 뭐니?,Clark's anemonefish,kingdom,Animal,amphiprioninae,1.0
23,110101420220620135548.jpg,이미지에서 아돌프 삭스가 발명한 벨기에의 발명품은 뭐야?,Saxophone,subject,Belgian invention,saxophone,1.0
24,140100120220830160222.jpg,이미지 속 진정쌍떡잎식물의 아과는 뭘까?,Apple,unclassified_class,Eudicots,Maleae,1.0
25,117701020220915133442.jpg,이미지 속 조각 기법은 무엇이니?,Wood carving,subject,sculpture_technique,Wood carving,1.0
26,132300420220708151550.jpg,이미지 안 사람이 앉는 데에 쓰는 가구가 무엇이니?,Chair,subject,Chair,chair,1.0
