img_path,question,h,r,t,answer,fold
./data/image/151100520220713145146.jpg,이미지 속 스포츠 시설은 뭐라고 불러?,Arena,subject,Sports_Facilities,arena,1.0
./data/image/121800120220707160221.jpg,이미지 속 파충류는 어느 문에 속하지?,Iguana,class,Reptile,chordate,1.0
./data/image/130300920220628101505.jpg,이미지 안 사람은 무엇에 해당되니?,Human,superorder,Euarchontoglires,Euarchontoglires,1.0
./data/image/134000220220801141550.jpg,이미지 속 전자 부품은 뭐야?,Diode,subject,Electronic component,diode,1.0
./data/image/141600820220712162346.jpg,이미지 안 진정쌍떡잎식물은 어떤 목에 속하니?,Mentha canadensis,order,Lamiales,Lamiales,1.0
./data/image/111500420220706183019.jpg,이미지 속 대한민국의 중요무형문화재를 뭐라고 불러?,Tightrope walking,subject,Intangible Cultural Heritage (South Korea),ropewalk,1.0
./data/image/122200620220708145015.jpg,이미지 속 모델 생물은 어떤 과에 해당하지?,Chicken,subject,Phasianidae,Phasianidae,1.0
./data/image/132303020220708164455.jpg,이미지 속 회전기는 어느 나라 발명품일까?,Propeller,subject,swedish invention,Sweden,1.0
./data/image/151300720221006141223.jpg,이미지 내 기계 체조 기구에 해당하는 것은 뭘까?,Parallel bars,subject,mechanical_gymnastics_apparatus,parallel bars,1.0
./data/image/120210420220907154358.jpg,이미지 내 척삭동물이 해당하는 강은 뭘까 ?,American black bear,class,Mammal,a mammal,1.0
./data/image/121000220220715145620.jpg,이미지 안 극피동물에 속하는 동물은 누구니?,Sea urchin,phylum,Echinoderm,sea urchin,1.0
./data/image/120806120220914115621.jpg,이미지에 있는 조기어류의 목은 뭐니?,Flathead grey mullet,class,Actinopterygii,chordate,1.0
./data/image/110502820220915104715.jpg,이미지 내의 박물관에서 벼목에 속하는 것은 뭘까?,Bamboo,order,Poales,bamboo,1.0
./data/image/122202420220728112446.jpg,이미지 안 척삭동물은 어느 나라의 여름철새일까?,Black-naped oriole,subject,Korea's summer migratory birds,Korea,1.0
./data/image/122201120220810162523.jpg,이미지 속 약용식물은 무엇이니?,Bellis perennis,subject,Medicinal plants,daisies,1.0
./data/image/122201820220905164615.jpg,이미지 안 척삭동물은 무엇일까?,Hummingbird,phylum,Chordate,hummingbird,1.0
./data/image/113000120220718164057.jpg,이미지 내에서 헌혈은 무엇을 하기 위해 하니?,blood donation,DerivedFrom,donation,donation,1.0
./data/image/120210320220922105214.jpg,이미지 내 삼림지대에 있는 척삭동물은 무엇일까?,forest,RelatedTo,woodland,lynx,1.0
./data/image/141204020220805133310.jpg,이미지 내 데이지의 계는 무엇이니?,Bellis perennis,kingdom,Plant,a plant,1.0
./data/image/120203320220817132127.jpg,천축서과에 속하는 기니피그의 문은 뭐야?,Guinea pig,subject,Caviidae,chordate,1.0
./data/image/113900220220719133411.jpg,이미지에 있는 쓰레기를 어디에 담을까?,a garbage can,UsedFor,hold trash,trash bag,1.0
./data/image/120900120220831162221.jpg,이미지 속 진연갑아강에 속하는 동물은 뭐지?,Lobster,kingdom,Animal,lobster,1.0
./data/image/120700220220825162516.jpg,이미지에서 놀래기아목에 해당하는 동물은 뭐니?,Clark's anemonefish,kingdom,Animal,amphiprioninae,1.0
./data/image/110101420220620135548.jpg,이미지에서 아돌프 삭스가 발명한 벨기에의 발명품은 뭐야?,Saxophone,subject,Belgian invention,saxophone,1.0
./data/image/140100120220830160222.jpg,이미지 속 진정쌍떡잎식물의 아과는 뭘까?,Apple,unclassified_class,Eudicots,Maleae,1.0
./data/image/117701020220915133442.jpg,이미지 속 조각 기법은 무엇이니?,Wood carving,subject,sculpture_technique,Wood carving,1.0
./data/image/132300420220708151550.jpg,이미지 안 사람이 앉는 데에 쓰는 가구가 무엇이니?,Chair,subject,Chair,chair,1.0
./data/image/112700220220718170710.jpg,이미지 속 유타 주의 상징이며 로열젤리와 관계 있는 곤충은 무엇이니?,Western honey bee,subject,Utah_Caution_Symbol,Western honey bee,1.0
./data/image/120801620220825180854.jpg,이미지 안에 조기어류는 무슨 목에 속하니?,Kidako moray,class,Actinopterygii,Anguilliformes,1.0
./data/image/122500420220721173755.jpg,생쥐는 무슨 목에 포함되는 모델 생물이니?,House mouse,subject,Model organism,rodents,1.0
./data/image/110200320220621152617.jpg,이미지 속 기하광학인 광학 기기는 뭐니?,Glasses,subject,Optical instrument,glasses,1.0
./data/image/121900320220707180755.jpg,이미지 속 포유류는 무엇에 속하는 동물이야?,Polar bear,class,Mammal,Carnivora,1.0
./data/image/170700120220915151308.jpg,이미지에서 음식을 주문하기 위한 용도로 사용하는 것은 뭘까?,a menu,UsedFor,ordering food,menu,1.0
./data/image/120201320220623160155.jpg,이미지 속 포유류에 속한 척추동물은 무엇이야?,Lion,class,Mammal,lion,1.0
./data/image/160100620220713163124.jpg,이미지 속 기구는 어느 나라의 발명품일까?,Hot air balloon,subject,Balloon (aeronautics),France,1.0
./data/image/130700220220628144033.jpg,이미지 내 진원류에 해당하는 사람은 어디에 속하고 있니?,Human,subclass,Theria,Theria,1.0
./data/image/120201820220818183633.jpg,이미지에서 초식동물인 토끼의 강은 어디에 해당할까?,Leporidae,subject,Herbivore,a mammal,1.0
./data/image/140401220220711131117.jpg,이미지 안에 새우는 무엇에 해당하는 동물이니?,Shrimp,suborder,Pleocyemata,Pleocyemata,1.0
./data/image/110300220220714161320.jpg,이미지 안 티켓은 무엇일까?,Ticket (admission),subject,Ticket,Ticket (admission),1.0
./data/image/117700720220919173907.jpg,이미지 속 우주 예술과 관련 있는 것은 뭘까?,Star trail,subject,space_art,star trail,1.0
./data/image/120400720220720161229.jpg,이미지 속에서 한국의 파충류에 해당하는 살무사는 어떤 뱀이니?,Mamushi,subject,Venomous snake,pit viper,1.0
./data/image/211301220221025121025.jpg,이미지 내에 있는 전설의 동물은 어느 나라의 상징이니?,Dragon,subject,symbol of china,china,1.0
./data/image/120400120220624171455.jpg,이미지 내에 있는 거북은 어떤 동물에 속하니?,Turtle,phylum,Chordate,chordate,1.0
./data/image/120201820220623143815.jpg,이미지 속 초식동물이 포함되는 과는 뭘까?,Leporidae,subject,Herbivore,Leporidae,1.0
./data/image/111600120220706162749.jpg,이미지 속 가톨릭 전례 봉사자는 뭐니?,choir,subject,Catholic_liturgical_volunteer,choir school,1.0
./data/image/120205320220715162040.jpg,이미지 안 쥐목에 속하는 동물은 뭐야?,Red squirrel,kingdom,Animal,red squirrel,1.0
./data/image/141601420220727155302.jpg,이미지 내 꿀풀목에 해당하는 마편초의 미분류목은 뭐야?,Verbena officinalis,order,Lamiales,Asterids,1.0
./data/image/120200720220623120020.jpg,이미지 속 장비목에 속하는 동물은 뭐야?,Elephant,subject,Proboscidea,elephant,1.0
./data/image/120100520220818132041.jpg,이미지 속 딱정벌레목에 해당하는 것은 뭐가 있니?,Harmonia axyridis,order,Beetle,ladybug,1.0
./data/image/140201220220715174508.jpg,이미지 속 국화군에 속하는 식물은 무엇에 해당될까?,Olive,order,Lamiales,Lamiales,1.0
./data/image/140201220220715175348.jpg,이미지 속 국화군에 해당하는 식물은 뭐야?,Olive,unclassified_order,Asterids,olive,1.0
./data/image/161000120220714142911.jpg,이미지에서 건설에 사용되는 기계는 뭐야?,Excavator,subject,Heavy equipment,digging instrument,1.0
./data/image/141400420220923113742.jpg,이미지 안 원예 식물이 해당하는 목은 뭐야?,Gladiolus,subject,Gardening_Plants,Asparagales,1.0
./data/image/122203320220803140001.jpg,이미지 내 홍학은 어떤 상목에 속해?,Flamingo,superorder,Neoaves,charadriiformes,1.0
./data/image/120204620220809165420.jpg,이미지 안 고양이아목에 속하는 동물을 뭐라고 해?,Hyena,kingdom,Animal,hyena,1.0
./data/image/120100520220623110830.jpg,이미지 속 딱정벌레목에 속하는 것은 무슨 계에 해당할까?,Harmonia axyridis,kingdom,Animal,a animal,1.0
./data/image/141404220220923141415.jpg,이미지 속 식물의 속은 뭐야?,yellow azalea,kingdom,Plant,Rhododendron,1.0
./data/image/112600520220707160309.jpg,이미지 속 마약을 뭐라고 부를까?,Cannabis (drug),subject,Narcotic,cannabis,1.0
./data/image/141500420220712143036.jpg,이미지 안 은방울꽃은 무슨 식물에 속하니?,Lily of the valley,subject,Poisonous plants,Poisonous plants,1.0
./data/image/211301720221006140731.jpg,이미지 안 국기로 사용되는 것은 어느 나라의 상징일까?,Flag of South Korea,subject,National symbols of South Korea,South Korea,1.0
./data/image/160300820220714162623.jpg,이미지 속 영장상목에 해당하는 사람은 어디에 속하니?,Human,order,Primate,a primate,1.0
./data/image/110700220220705182017.jpg,이미지 속 영장상목에 속하는 동물은 뭐야?,Human,superorder,Euarchontoglires,people,1.0
./data/image/120207720220803150640.jpg,이미지 속 개코원숭이의 목은 무엇일까?,Baboon,order,Primate,a primate,1.0
./data/image/113300320220718172419.jpg,이미지 안에서 날카롭고 뾰족한 건 뭐야?,a needle,HasProperty,sharp,darning needle,1.0
./data/image/132000120220829143828.jpg,이미지 안 필기 도구에 속하는 것은 뭐야?,Fountain pen,subject,Writing implement,a fountain pen,1.0
./data/image/110400720220906131340.jpg,이미지 속 도로 시설물은 뭐야?,Bus stop,subject,road_facility,bus stops,1.0
./data/image/140101420220926110920.jpg,이미지 안 박과에 속하는 식물을 뭐라고 해?,Cucumis melo,kingdom,Plant,melon,1.0
./data/image/120500620220802163017.jpg,이미지 내 청개구리의 아목은 뭘까?,Japanese tree frog,suborder,Neobatrachia,Neobatrachia,1.0
./data/image/120803720220825173608.jpg,이미지에서 가자미목에 속하는 척삭동물은 뭘까?,Olive flounder,order,Flatfish,olive flounder,1.0
./data/image/160100320220927173503.jpg,이미지 내 스코틀랜드의 발명품은 뭐가 있어?,Bicycle,subject,scotland_invention,bikes,1.0
./data/image/141402620220726152421.jpg,이미지 안 박목에 해당하는 것이 속한 미분류문은 무엇이니?,Begonia,order,Cucurbitales,ia genus,1.0
./data/image/110101320220810111930.jpg,이미지 내 바닥을 덮기 위한 용도로 사용하는 것은 무엇이니?,a carpet,UsedFor,covering a floor,a carpet,1.0
./data/image/120206720220720133045.jpg,이미지에 보이는 곡비원류가 해당하는 하목은 뭐야?,Lemur,suborder,Strepsirrhini,Lemuriformes,1.0
./data/image/120500120220901132348.jpg,이미지 안에 척삭동물은 무슨 강에 해당하니?,Frog,class,Amphibian,amphibians,1.0
./data/image/134201420220725152022.jpg,이미지 내 중국의 발명품에 해당하는 것은 무엇일까?,Banknote,subject,chinese invention,paper money,1.0
./data/image/132101320220708114019.jpg,이미지 내 샴푸는 어느 나라의 발명품이니?,Shampoo,subject,indian invention,india,1.0
./data/image/130301420220627171813.jpg,이미지 안 난로는 무엇을 위한 장치일까?,Stove,subject,Heating system,heating,1.0
./data/image/211301120220929124501.jpg,이미지에 있는 도기를 뭐라고 할까?,Onggi,subject,pottery,Onggi,1.0
./data/image/120206920220829183636.jpg,이미지 속 야생의 들판에 있는 오스트레일리아의 포유류는 뭐야?,Wombat,subject,australian_mammals,wombat,1.0
./data/image/141202920220726134743.jpg,이미지 안 약용식물은 어떤 과에 속해?,Achyranthes bidentata,subject,Medicinal plants,Amaranthaceae,1.0
./data/image/122201320220707152305.jpg,이미지 내 오리는 무엇에 속하는 동물일까?,Duck,order,Anseriformes,Anseriformes,1.0
./data/image/132300420220708151255.jpg,이미지 속 영장류에 속하는 동물은 뭐지?,Human,order,Primate,people,1.0
./data/image/122300320220913103317.jpg,이미지 속 원실젖거미아목의 문은 뭐니?,Tarantula,phylum,Arthropod,arthropod,1.0
./data/image/116200220220920155607.jpg,이미지 내 박물관에 있는 기록 매체는 뭐야?,art,RelatedTo,museum,Bamboo and wooden slips,1.0
